Tx,status
Addax_nasomaculatus,CR
Aepyceros_melampus,LC
Alcelaphus_buselaphus,EN
Alces_alces,LC
Ammotragus_lervia,VU
Antidorcas_marsupialis,LC
Antilocapra_americana,LC
Antilope_cervicapra,NT
Arabitragus_jayakari,EN
Axis_axis,LC
Axis_kuhlii,CR
Axis_porcinus,EN
Babyrousa_babyrussa,VU
Babyrousa_celebensis,VU
Balaena_mysticetus,CR
Balaenoptera_acutorostrata,LC
Balaenoptera_borealis,EN
Balaenoptera_musculus,EN
Balaenoptera_physalus,VU
Beatragus_hunteri,CR
Bison_bison,NT
Bison_bonasus,VU
Bos_gaurus,VU
Bos_javanicus,EN
Bos_mutus,VU
Bos_primigenius,EX
Bos_sauveli,CR
Boselaphus_tragocamelus,LC
Bubalus_arnee,EN
Bubalus_depressicornis,EN
Bubalus_mindorensis,CR
Bubalus_quarlesi,EN
Budorcas_taxicolor,VU
Camelus_ferus,CR
Capra_aegagrus,VU
Capra_caucasica,EN
Capra_cylindricornis,NT
Capra_falconeri,NT
Capra_ibex,LC
Capra_nubiana,VU
Capra_pyrenaica,LC
Capra_sibirica,LC
Capra_walie,EN
Capreolus_capreolus,LC
Capreolus_pygargus,LC
Capricornis_crispus,LC
Capricornis_milneedwardsii,NT
Capricornis_sumatraensis,VU
Capricornis_swinhoei,LC
Catagonus_wagneri,EN
Cephalophus_adersi,CR
Cephalophus_callipygus,LC
Cephalophus_dorsalis,LC
Cephalophus_harveyi,LC
Cephalophus_jentinki,EN
Cephalophus_leucogaster,LC
Cephalophus_natalensis,LC
Cephalophus_niger,LC
Cephalophus_nigrifrons,EN
Cephalophus_ogilbyi,VU
Cephalophus_rufilatus,LC
Cephalophus_silvicultor,LC
Cephalophus_spadix,EN
Cephalophus_weynsi,LC
Cephalophus_zebra,VU
Cephalorhynchus_eutropia,NT
Cephalorhynchus_hectori,CR
Ceratotherium_simum,NT
Cervus_elaphus,LC
Cervus_nippon,LC
Choeropsis_liberiensis,EN
Connochaetes_gnou,LC
Connochaetes_taurinus,LC
Dama_dama,LC
Dama_mesopotamica,EN
Damaliscus_lunatus,LC
Damaliscus_pygargus,NT
Delphinapterus_leucas,CR
Delphinus_delphis,EN
Dicerorhinus_sumatrensis,CR
Diceros_bicornis,EX
Dorcatragus_megalotis,VU
Elaphodus_cephalophus,NT
Elaphurus_davidianus,EW
Equus_africanus,CR
Equus_ferus,EN
Equus_grevyi,EN
Equus_hemionus,NT
Equus_kiang,LC
Equus_quagga,EX
Equus_zebra,VU
Eschrichtius_robustus,CR
