HostCorrectedName_MSW05	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	TotalPrevalence	Citation	HostCorrectedName	CoatReflectance	CortisolLevels
Mandrillus sphinx	Physaloptera sp.	Djidji	11.81	0.22	2	2	NA	National Parasite Collection (WWW)	Mandrillus_sphinx	0.898821412085457	2.19409568213524
Papio cynocephalus	Physaloptera caucasia	Rift Valley	36	0.5	2	2	0.01	Kuntz and Moore 1973	Papio_cynocephalus	0.385333305696615	0.63153625245153
Papio anubis	Physaloptera caucasia	Kilifi	39.85	-3.63	2	2	0	Kuntz and Myers 1967a	Papio_anubis	0.351229831671049	0.304334536439945
Papio anubis	Physaloptera caucasia	Mau Norak	36	-0.6	2	2	0	Kuntz and Myers 1967a	Papio_anubis	0.441527648932284	0.313528608804985
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.65	File et al. 1976	Pan_troglodytes	0.877311618689877	0.17813233613682
Papio anubis	Physaloptera caucasia	Kimani	37.08	-2.13	1	1	0.78	Kuntz and Myers 1967a	Papio_anubis	1.80017064488015	0.106096725803712
Papio ursinus	Physaloptera caucasia	Kruger	31.5	-23.83	2	2	0.21	McConnell et al. 1974	Papio_ursinus	1.20740614579963	0.931264015952425
Papio ursinus	Physaloptera caucasia	Transvaal	29.75	-25	3	2	0.042	Goldsmid and Rogers 1978	Papio_ursinus	0.977235684405298	0.311707590949523
Cercopithecus ascanius	Physaloptera caucasia	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2004	Cercopithecus_ascanius	0.316581719808766	1.67081190448429
Cercopithecus mitis	Physaloptera caucasia	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2004	Cercopithecus_mitis	0.572510744603677	0.326001086536565
Cercopithecus lhoesti	Physaloptera caucasia	Kibale	30.41	0.45	1	1	0	Gillespie et al. 2004	Cercopithecus_lhoesti	3.05859318940231	0.551705428077563
Chlorocebus aethiops	Physaloptera caucasia	Lake Saka	30.2	0.7	2	2	0	Gillespie et al. 2004	Chlorocebus_aethiops	0.82135398085927	2.07445563741643
Pan troglodytes	Physaloptera caucasia	Gombe	29.61	-4.7	2	2	0.846	Gillespie et al. 2010b	Pan_troglodytes	1.15443034524369	1.16717511137579
