Site,LAT,LONG
ABER,-0.24,36.5
ABI.SHA,7.3,38.3
ABTL,12.1,18.88
ADX,19.31,9.37
AIHS,-27.91,17.15
AKA,-1.65,30.69
AMB,-2.38,37.14
ANG,-15.5,15.3
ANME,15.55,1.7
APFR,11.39,1.16
ARAW,-1.43,40.15
ARU,-3.25,36.83
ATFR,11.56,1.44
ATNR,18.83,9.47
AWA,9.2,40.2
BAD,12.34,-13.17399
BAIE,28.01,-12.27
BALE,6.4,39.4
BANC,-11.534,30.7202
BASA,10.59,19.42
BAZ,-21.75,35.43
BBN,2.51,14.72
BELZ,35.59,6.04
BEN,8.36,13.82
BF,-3.94,29.6
BHINE,-22.9,32.86
BIK,-15.28,14.76
BIN,9.63,14.41
BON,10.86,-3.11
BOUH,34.47,9.61
BUD,1.73,31.55
BUF,-12.78,13.81
CCSR,-21.77,13.98
CHAM,35.18,8.71
CHO,-18,24.5
CLB,14.41,-3.4
CMA,2.46,10.3
COM,9.06,3.42
CON,-3.9,11.45
CONG,2.5,22
CROS,5,6
DEUX,11.59,-2.97
DIAW,16.31,-16.4
DJU,36.46,4.16
DVGP,-22.53,16.96
ENIG,5,7.5
ETO,-19,15.75
FADA,16.96,21.4
