species,per_leaves
Alouatta_caraya,67.7
Alouatta_palliata,56.4
Alouatta_pigra,45.1
Alouatta_seniculus,48.1
Ateles_belzebuth,9
Ateles_geoffroyi,14.9
Cebus_apella,10
Cercocebus_agilis,16
Cercopithecus_ascanius,14.2
Cercopithecus_mitis,20.4
Chlorocebus_aethiops,14.3
Colobus_guereza,73
Erythrocebus_patas,2
Eulemur_fulvus,25.6
Gorilla_gorilla,93
Hylobates_lar,24.7
Indri_indri,57
Lagothrix_lagotricha,11.4
Lemur_catta,43.6
Lophocebus_albigena,5
Macaca_sylvanus,10.9
Nasalis_larvatus,56
Pan_troglodytes,26
Papio_hamadryas,17.7
Piliocolobus_badius,64.2
Pithecia_pithecia,8.8
Propithecus_diadema,38.6
Saguinus_fuscicollis,0
Semnopithecus_entellus,51
Symphalangus_syndactylus,42.4
Varecia_variegata,5
