animal,Species,Location,Vision,Overlap
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Back,Tetra,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Back,Tri,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Back,Di,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Belly,Tetra,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Belly,Tri,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Belly,Di,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Cap,Tetra,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Cap,Tri,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Cap,Di,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Tail,Tetra,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Tail,Tri,yes
Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,Tail,Di,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Back,Tetra,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Back,Tri,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Back,Di,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Belly,Tetra,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Belly,Tri,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Belly,Di,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Cap,Tetra,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Cap,Tri,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Cap,Di,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Tail,Tetra,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Tail,Tri,yes
Eulemur_macaco_macaco,Eulemur_macaco_macaco,Tail,Di,yes
Eulemur_mongoz,Eulemur_mongoz,Back,Tetra,yes
Eulemur_mongoz,Eulemur_mongoz,Back,Tri,yes
Eulemur_mongoz,Eulemur_mongoz,Back,Di,yes
Eulemur_mongoz,Eulemur_mongoz,Belly,Tetra,yes
Eulemur_mongoz,Eulemur_mongoz,Belly,Tri,yes
Eulemur_mongoz,Eulemur_mongoz,Belly,Di,yes
Eulemur_mongoz,Eulemur_mongoz,Cap,Tetra,yes
Eulemur_mongoz,Eulemur_mongoz,Cap,Tri,yes
Eulemur_mongoz,Eulemur_mongoz,Cap,Di,yes
Eulemur_mongoz,Eulemur_mongoz,Tail,Tetra,yes
Eulemur_mongoz,Eulemur_mongoz,Tail,Tri,yes
Eulemur_mongoz,Eulemur_mongoz,Tail,Di,yes
Hapalemur_griseus,Hapalemur_griseus,Back,Tetra,yes
Hapalemur_griseus,Hapalemur_griseus,Back,Tri,yes
Hapalemur_griseus,Hapalemur_griseus,Back,Di,yes
Hapalemur_griseus,Hapalemur_griseus,Belly,Tetra,yes
Hapalemur_griseus,Hapalemur_griseus,Belly,Tri,yes
