TEAM,FOCAL,MONTH,DATE,TIME,Comp.1,Comp.2,REPRO,ACTIVITY,GP_SPRD,GP_TYPE
1,BG,AUGUST,27-Aug-08,14:35,1.061524748,0.573801716,GESTATION,FD,1,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:25,2.290877647,0.299073838,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:30,2.290877647,0.299073838,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:35,2.290877647,0.299073838,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,23-Aug-08,16:35,2.290877647,0.299073838,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,27-Aug-08,14:55,1.061524748,0.573801716,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,27-Aug-08,15:35,1.061524748,0.573801716,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,27-Aug-08,15:40,1.061524748,0.573801716,GESTATION,FD,2,MIXED SEX
1,BG,AUGUST,23-Aug-08,8:55,2.290877647,0.299073838,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,23-Aug-08,9:00,2.290877647,0.299073838,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,23-Aug-08,9:05,2.290877647,0.299073838,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,23-Aug-08,11:00,2.290877647,0.299073838,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,23-Aug-08,11:05,2.290877647,0.299073838,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,23-Aug-08,14:25,2.290877647,0.299073838,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:30,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:35,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,11:15,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,11:20,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,11:25,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,14:30,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,14:40,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,15:30,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,27-Aug-08,16:35,1.061524748,0.573801716,GESTATION,FD,3,MIXED SEX
1,BG,AUGUST,23-Aug-08,8:50,2.290877647,0.299073838,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,23-Aug-08,11:15,2.290877647,0.299073838,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,23-Aug-08,11:25,2.290877647,0.299073838,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,23-Aug-08,14:30,2.290877647,0.299073838,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:00,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:15,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:20,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:25,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,10:40,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,11:30,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,11:35,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,14:20,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,14:25,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,27-Aug-08,16:10,1.061524748,0.573801716,GESTATION,FD,4,MIXED SEX
1,BG,AUGUST,23-Aug-08,7:20,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,10:35,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,10:40,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,10:45,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,10:50,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:05,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:10,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:15,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
1,BG,AUGUST,23-Aug-08,12:20,2.290877647,0.299073838,GESTATION,FD,5,MIXED SEX
