Species,MaxLongevity_m,SocialGrpSize,Precip_Mean_mm,AdultBodyMass_g,SexualMaturityAge_d
Alouatta_caraya,243.6,8.9,1166.4,5577.0,1276.7
Alouatta_palliata,300.0,13.1,1852.6,6577.0,1578.4
Alouatta_seniculus,300.0,7.9,1823.4,6398.3,1690.2
Aotus_trivirgatus,303.6,3.1,1786.0,912.4,736.6
Arctocebus_calabarensis,156.0,1.0,1844.4,258.0,298.9
Ateles_geoffroyi,327.6,42.0,1539.3,7582.4,2104.6
Ateles_paniscus,453.6,20.0,1576.9,8697.2,2104.6
Cacajao_calvus,324.0,23.7,2118.6,3421.0,1262.7
Callicebus_moloch,303.6,2.9,1740.3,958.1,1262.7
Callimico_goeldii,214.8,6.8,2091.9,558.0,413.8
Callithrix_argentata,201.6,9.5,1718.5,382.9,701.5
Callithrix_jacchus,201.6,8.5,993.9,290.2,456.0
Callithrix_pygmaea,181.2,6.0,2085.3,123.9,708.5
Cebus_albifrons,528.0,25.0,1929.9,2509.7,1501.7
Cebus_apella,541.2,7.9,1541.9,2758.4,1760.8
Cebus_capucinus,657.6,18.1,2165.7,3006.0,2134.7
Cebus_olivaceus,492.0,11.4,1555.2,2787.6,2525.5
Cercocebus_atys,321.6,35.0,1860.9,6941.2,1321.7
Cercocebus_galeritus,252.0,20.3,539.9,7077.7,2735.9
Cercocebus_torquatus,360.0,26.8,1756.2,7293.1,1318.9
Cercopithecus_ascanius,339.6,26.3,1310.1,3540.2,1718.7
Cercopithecus_cephus,276.0,11.0,1498.7,3444.9,1521.9
Cercopithecus_diana,447.6,24.9,2375.7,4358.9,2279.9
Cercopithecus_mitis,325.2,16.0,1090.8,5041.3,2049.2
Cercopithecus_neglectus,315.6,4.5,1382.9,5324.5,2076.4
Cercopithecus_nictitans,276.0,16.0,1482.7,5256.9,1684.6
Cercopithecus_pogonias,289.2,15.0,1460.5,3578.3,1684.6
Cheirogaleus_major,180.0,1.0,1676.3,446.0,420.9
Cheirogaleus_medius,231.6,1.0,850.8,196.8,413.8
Colobus_guereza,294.0,7.6,1089.2,9925.9,1929.2
Colobus_polykomos,366.0,10.2,1807.6,8797.3,1629.8
Daubentonia_madagascariensis,291.6,1.0,1491.3,2731.4,834.7
Erythrocebus_patas,286.8,28.0,733.9,7966.3,1246.1
Eulemur_coronatus,220.8,6.9,1050.9,1699.8,701.5
Eulemur_fulvus,444.0,9.1,1561.3,2377.0,791.7
Eulemur_macaco,360.0,9.2,1341.9,2470.4,660.7
Eulemur_mongoz,360.0,2.7,1258.8,1771.1,1060.7
Galago_moholi,198.0,1.0,801.2,192.0,420.9
Galago_senegalensis,204.0,3.5,800.8,215.2,330.4
Galagoides_demidoff,168.0,5.5,1404.3,66.0,345.2
Gorilla_gorilla,648.0,6.0,1528.8,112589.0,3353.1
Hapalemur_griseus,205.2,3.1,1772.8,916.0,1003.2
Hylobates_lar,480.0,3.2,1727.4,5578.6,3852.5
Hylobates_pileatus,432.0,3.2,1576.0,5542.4,2454.2
Lagothrix_lagotricha,360.0,33.0,2265.6,6263.7,1729.3
Lemur_catta,360.0,16.4,629.4,2626.5,831.6
Leontopithecus_rosalia,297.6,4.5,1283.2,592.5,890.3
Lepilemur_leucopus,103.0,1.0,568.2,600.0,620.8
Lepilemur_mustelinus,144.0,1.0,1736.1,669.0,663.8
Lophocebus_albigena,392.4,16.0,1416.8,7418.7,2525.5
Loris_tardigradus,196.8,1.0,1472.7,249.2,350.8
Macaca_fascicularis,456.0,27.0,2190.5,4569.3,1319.5
Macaca_fuscata,396.0,40.6,1476.6,10114.8,1460.8
Macaca_mulatta,432.0,38.5,1173.6,6455.2,1101.1
Macaca_nemestrina,411.6,22.6,2449.8,7820.8,1427.2
Macaca_nigra,216.0,35.0,2308.0,7359.4,1984.5
Macaca_radiata,360.0,33.5,937.4,5000.0,1785.8
Macaca_silenus,480.0,21.0,880.7,5995.2,1912.2
Macaca_sinica,420.0,20.1,1416.7,4656.0,1894.1
Macaca_sylvanus,264.0,18.3,459.3,11471.5,1542.2
Mandrillus_leucophaeus,400.8,17.0,2032.9,14253.3,1746.0
Mandrillus_sphinx,556.0,13.9,1611.8,16685.1,2122.1
Microcebus_coquereli,183.6,1.0,924.8,326.5,343.7
Microcebus_murinus,186.0,1.0,851.2,69.0,355.5
Miopithecus_talapoin,370.8,91.2,1043.1,1248.9,1733.4
Nasalis_larvatus,252.0,11.2,2570.8,12265.6,1894.1
Nomascus_concolor,529.2,4.0,1196.2,6410.5,2454.2
Nycticebus_coucang,318.0,1.0,2372.9,924.5,660.8
Otolemur_crassicaudatus,225.6,3.5,870.9,1206.6,609.9
Otolemur_garnettii,204.0,1.0,679.2,811.2,592.1
Pan_paniscus,576.0,85.0,1611.2,35119.9,5465.7
Pan_troglodytes,720.0,50.0,1497.2,45000.0,3897.9
Papio_cynocephalus,540.0,48.2,864.2,15822.1,2560.5
Papio_hamadryas,450.0,36.9,459.4,14007.1,1652.4
Papio_ursinus,540.0,47.0,419.0,17729.4,1543.3
Perodicticus_potto,312.0,1.0,1390.0,1081.8,561.6
Pithecia_pithecia,248.4,2.7,1569.9,1667.2,1089.4
Pongo_pygmaeus,720.0,1.0,2587.0,53408.3,3318.6
Propithecus_verreauxi,247.2,6.3,581.3,3588.3,943.9
Saguinus_fuscicollis,294.0,6.0,1968.0,394.0,406.6
Saguinus_midas,184.8,5.5,1606.8,540.6,841.8
Saguinus_oedipus,277.2,7.0,1202.9,462.0,680.4
Saimiri_sciureus,324.0,34.8,1868.6,749.5,1399.9
Semnopithecus_entellus,300.0,19.0,788.2,12679.3,1497.6
Symphalangus_syndactylus,456.0,3.8,2267.2,10839.0,3788.2
Tarsius_bancanus,144.0,1.0,2563.9,114.4,658.7
Tarsius_spectrum,144.0,3.2,2294.1,168.0,596.3
Theropithecus_gelada,336.0,10.0,924.9,15964.1,1894.1
Trachypithecus_vetulus,276.0,8.3,1434.1,7205.1,1113.7
Varecia_variegata,384.0,2.8,1885.8,3850.0,701.5
