"","Cercopithecus_mitis","Cercopithecus_ascanius","Erythrocebus_patas","Chlorocebus_aethiops","Cercocebus_agilis","Lophocebus_albigena","Papio_hamadryas","Macaca_sylvanus","Colobus_guereza","Piliocolobus_badius","Nasalis_larvatus","Semnopithecus_entellus","Hylobates_lar","Symphalangus_syndactylus","Gorilla_gorilla","Pan_troglodytes","Alouatta_palliata","Alouatta_pigra","Alouatta_caraya","Alouatta_seniculus","Ateles_belzebuth","Ateles_geoffroyi","Lagothrix_lagotricha","Saguinus_fuscicollis","Cebus_capucinus","Cebus_apella","Pithecia_pithecia","Indri_indri","Propithecus_diadema","Eulemur_fulvus","Lemur_catta","Varecia_variegata"
"Cercopithecus_mitis",0,12.858418,19.696252,19.696251,29.750358,29.750357,29.750357,29.750358,42.820749,42.820749,42.82075,42.82075,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Cercopithecus_ascanius",12.858418,0,19.696252,19.696251,29.750358,29.750357,29.750357,29.750358,42.820749,42.820749,42.82075,42.82075,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Erythrocebus_patas",19.696252,19.696252,0,17.254489,29.750358,29.750357,29.750357,29.750358,42.820749,42.820749,42.82075,42.82075,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Chlorocebus_aethiops",19.696251,19.696251,17.254489,0,29.750357,29.750356,29.750356,29.750357,42.820748,42.820748,42.820749,42.820749,60,60.000001,60.000001,60,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Cercocebus_agilis",29.750358,29.750358,29.750358,29.750357,0,22.700927,22.700927,25.705052,42.820749,42.820749,42.82075,42.82075,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Lophocebus_albigena",29.750357,29.750357,29.750357,29.750356,22.700927,0,11.538326,25.705051,42.820748,42.820748,42.820749,42.820749,60,60.000001,60.000001,60,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Papio_hamadryas",29.750357,29.750357,29.750357,29.750356,22.700927,11.538326,0,25.705051,42.820748,42.820748,42.820749,42.820749,60,60.000001,60.000001,60,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Macaca_sylvanus",29.750358,29.750358,29.750358,29.750357,25.705052,25.705051,25.705051,0,42.820749,42.820749,42.82075,42.82075,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Colobus_guereza",42.820749,42.820749,42.820749,42.820748,42.820749,42.820748,42.820748,42.820749,0,25.074904,30.870315,30.870315,60,60.000001,60.000001,60,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Piliocolobus_badius",42.820749,42.820749,42.820749,42.820748,42.820749,42.820748,42.820748,42.820749,25.074904,0,30.870315,30.870315,60,60.000001,60.000001,60,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Nasalis_larvatus",42.82075,42.82075,42.82075,42.820749,42.82075,42.820749,42.820749,42.82075,30.870315,30.870315,0,25.569294,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Semnopithecus_entellus",42.82075,42.82075,42.82075,42.820749,42.82075,42.820749,42.820749,42.82075,30.870315,30.870315,25.569294,0,60.000001,60.000002,60.000002,60.000001,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Hylobates_lar",60.000001,60.000001,60.000001,60,60.000001,60,60,60.000001,60,60,60.000001,60.000001,0,13.196723,39.211891,39.21189,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Symphalangus_syndactylus",60.000002,60.000002,60.000002,60.000001,60.000002,60.000001,60.000001,60.000002,60.000001,60.000001,60.000002,60.000002,13.196723,0,39.211892,39.211891,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Gorilla_gorilla",60.000002,60.000002,60.000002,60.000001,60.000002,60.000001,60.000001,60.000002,60.000001,60.000001,60.000002,60.000002,39.211891,39.211892,0,17.304465,93.623644,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623643,93.623644,93.623644,93.623644,146.006036,146.006036,146.006035,146.006036,146.006036
"Pan_troglodytes",60.000001,60.000001,60.000001,60,60.000001,60,60,60.000001,60,60,60.000001,60.000001,39.21189,39.211891,17.304465,0,93.623643,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623642,93.623643,93.623643,93.623643,146.006035,146.006035,146.006034,146.006035,146.006035
"Alouatta_palliata",93.623644,93.623644,93.623644,93.623643,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623644,93.623644,93.623643,93.623644,93.623644,93.623643,0,3.16434,7.776433,7.776433,29.520482,29.520481,29.520481,42.642601,42.642602,42.642602,45.465558,146.006036,146.006036,146.006035,146.006036,146.006036
"Alouatta_pigra",93.623644,93.623644,93.623644,93.623643,93.623644,93.623643,93.623643,93.623644,93.623643,93.623643,93.623644,93.623644,93.623643,93.623644,93.623644,93.623643,3.16434,0,7.776433,7.776433,29.520482,29.520481,29.520481,42.642601,42.642602,42.642602,45.465558,146.006036,146.006036,146.006035,146.006036,146.006036
"Alouatta_caraya",93.623643,93.623643,93.623643,93.623642,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623643,93.623643,93.623642,93.623643,93.623643,93.623642,7.776433,7.776433,0,5.772942,29.520481,29.52048,29.52048,42.6426,42.642601,42.642601,45.465557,146.006035,146.006035,146.006034,146.006035,146.006035
"Alouatta_seniculus",93.623643,93.623643,93.623643,93.623642,93.623643,93.623642,93.623642,93.623643,93.623642,93.623642,93.623643,93.623643,93.623642,93.623643,93.623643,93.623642,7.776433,7.776433,5.772942,0,29.520481,29.52048,29.52048,42.6426,42.642601,42.642601,45.465557,146.006035,146.006035,146.006034,146.006035,146.006035
