species,log_ecv_female,log_mass_female
Allenopithecus_nigroviridis,1.729950392,3.50242712
Alouatta_belzebul,1.709163919,3.741939078
Alouatta_caraya,1.67938416,3.627365857
Alouatta_guariba,1.690903178,3.658011397
Alouatta_palliata,1.681639256,3.728353782
Alouatta_pigra,1.68797462,3.808210973
Alouatta_seniculus,1.734444908,3.716837723
Aotus_azarai,1.315730123,3.089905111
Aotus_lemurinus,1.210876619,2.854952982
Aotus_trivirgatus,1.207647848,2.970036777
Arctocebus_calabarensis,0.814677849,2.485721426
Ateles_belzebuth,2.052103923,3.928622598
Ateles_fusciceps,2.036388996,3.961895474
Ateles_geoffroyi,2.03976447,3.862727528
Ateles_paniscus,2.005180513,3.906873535
Avahi_laniger,1.004301938,3.116275588
Brachyteles_arachnoides,2.064225804,3.906873535
Bunopithecus_hoolock,2.024416517,3.802773725
Cacajao_calvus,1.870988814,3.459392488
Cacajao_melanocephalus,1.812476239,3.432969291
Callicebus_torquatus,1.297648039,3.08278537
Callimico_goeldii,1.075725825,2.670245853
Callithrix_argentata,0.922119275,2.556302501
Callithrix_humeralifera,0.913813852,2.579783597
Callithrix_jacchus,0.848189117,2.507855872
Callithrix_penicillata,0.867965865,2.493756706
Callithrix_pygmaea,0.636489351,2.086359831
Cebus_albifrons,1.800981125,3.359835482
Cebus_apella,1.808344992,3.396040069
Cebus_capucinus,1.858080771,3.386766416
Cebus_olivaceus,1.834954209,3.420505837
Cebus_xanthosternos,1.806212676,3.335792102
Cercocebus_agilis,2.003833917,3.752816431
Cercocebus_galeritus,1.979262119,3.720985744
Cercocebus_torquatus,1.977612214,3.740362689
Cercocebus_torquatus_atys,1.938519725,3.792391689
Cercopithecus_albogularis,1.820582091,3.629607077
Cercopithecus_ascanius,1.739577352,3.462547729
Cercopithecus_campbelli,1.735524695,3.431363764
Cercopithecus_cephus,1.790188837,3.459392488
Cercopithecus_diana,1.741545517,3.591064607
Cercopithecus_hamlyni,1.769377326,3.526339277
Cercopithecus_lhoesti,1.828015064,3.537819095
Cercopithecus_mitis,1.814508381,3.66539335
Cercopithecus_mona,1.761551989,3.436639632
Cercopithecus_neglectus,1.784344662,3.615950052
Cercopithecus_nictitans,1.829410993,3.629409599
Cercopithecus_petaurista,1.716592175,3.465112347
Cercopithecus_pogonias,1.752475273,3.462397998
Cercopithecus_wolfi,1.757396029,3.457881897
Cheirogaleus_major,0.750320597,2.558708571
Cheirogaleus_medius,0.414973348,2.1430148
Chiropotes_satanas,1.676753584,3.471291711
Chlorocebus_aethiops,1.770852012,3.4827307
Chlorocebus_pygerythrus,1.773946409,3.55337322
Chlorocebus_sabaeus,1.773744169,3.568201724
Colobus_angolensis,1.859138297,3.87909588
Colobus_guereza,1.84364676,3.875387895
Colobus_polykomos,1.846546201,3.919078092
Colobus_satanas,1.856124444,3.870403905
Colobus_vellerosus,1.843405098,3.858537198
Daubentonia_madagascariensis,1.673861021,3.396199347
Erythrocebus_patas,1.948708186,3.812913357
Eulemur_coronatus,1.340553633,3.033423755
Eulemur_fulvus,1.404700638,3.367976785
Eulemur_macaco,1.396584983,3.385606274
Eulemur_mongoz,1.294337304,3.107731645
Eulemur_rubriventer,1.430221315,3.28780173
Eulemur_rufus,1.439332694,3.356025857
Euoticus_elegantulus,0.738950312,2.416640507
Galago_matschiei,0.6467233,2.326335861
Galago_moholi,0.560508187,2.167771618
Galago_senegalensis,0.59074599,2.274157849
Galagoides_demidoff,0.425603493,1.863983384
Galagoides_zanzibaricus,0.574528202,2.136720567
Gorilla_beringei,2.681377114,4.989004616
Gorilla_gorilla,2.658864578,4.854306042
Hapalemur_griseus,1.145699372,2.826074803
Hylobates_agilis,1.958700368,3.764922985
Hylobates_klossii,1.956899773,3.772321707
Hylobates_lar,2.002110199,3.730856939
Hylobates_muelleri,1.939290786,3.778892537
Hylobates_pileatus,1.923416735,3.7355989
Indri_indri,1.533315822,3.835056102
Lagothrix_lagotricha,1.991226076,3.846337112
Lemur_catta,1.2955671,3.344392274
Leontopithecus_chrysomelas,1.074219603,2.84509804
Leontopithecus_rosalia,1.102630667,2.776701184
Lepilemur_dorsalis,0.826074803,2.965201701
Lepilemur_edwardsi,0.903089987,2.970346876
Lepilemur_leucopus,0.832484941,2.773786445
Lepilemur_ruficaudatus,0.84509804,2.904715545
Lophocebus_albigena,1.95403285,3.778874472
Lophocebus_aterrimus,1.959049458,3.760422483
Loris_lydekkerianus,0.815134817,2.42975228
Loris_tardigradus,0.773126826,2.285557309
Macaca_arctoides,1.999130541,3.924279286
Macaca_assamensis,1.945941255,3.838849091
Macaca_cyclopis,1.86332286,3.693726949
Macaca_fascicularis,1.79340132,3.546280123
Macaca_fuscata,1.985785618,3.904715545
Macaca_leonina,1.914473202,3.677850187
Macaca_mulatta,1.925601975,3.75361969
Macaca_nemestrina,2.002830699,3.815521669
Macaca_nigra,1.926856709,3.737987326
Macaca_radiata,1.841226053,3.586099481
Macaca_silenus,1.903089987,3.785329835
Macaca_sinica,1.819543936,3.505149978
Macaca_sylvanus,1.990931912,3.983400738
Mandrillus_leucophaeus,2.133538908,4.096910013
Mandrillus_sphinx,2.166234978,4.10720997
Microcebus_murinus,0.219137232,1.827369273
Microcebus_rufus,0.256461887,1.62324929
Miopithecus_talapoin,1.541073699,3.193124598
Mirza_coquereli,0.718176428,2.494154594
Nasalis_larvatus,1.923445507,3.988097087
Nomascus_gabriellae,2.069112851,3.864511081
Nycticebus_bengalensis,1.121674999,3.008600172
Nycticebus_coucang,0.979400331,2.796574333
Otolemur_crassicaudatus,1.043941438,3.045322979
Otolemur_garnettii,1.010245871,2.86569606
Pan_paniscus,2.51355052,4.521138084
Pan_troglodytes,2.544737055,4.606022888
Papio_anubis,2.183115763,4.123851641
Papio_cynocephalus,2.193475042,4.079181246
Papio_hamadryas,2.123851641,4.012837225
Papio_ursinus,2.217483944,4.170261715
Perodicticus_potto,1.074341238,2.938475943
Phaner_furcifer,0.831383703,2.544068044
