Species,SocOrgFlex
Alouatta_caraya,87.2
Alouatta_palliata,56.2
Alouatta_pigra,90.6
Alouatta_seniculus,40.2
Ateles_belzebuth,45.2
Ateles_geoffroyi,82.1
Cebus_apella,74.6
Cebus_capucinus,28.4
Cercocebus_agilis,313.5
Cercopithecus_ascanius,77.9
Cercopithecus_mitis,114.5
Chlorocebus_aethiops,98
Colobus_guereza,67.9
Erythrocebus_patas,131.4
Eulemur_fulvus,41.9
Gorilla_gorilla,121.6
Hylobates_lar,7.6
Indri_indri,20.1
Lagothrix_lagotricha,69.5
Lemur_catta,19.3
Lophocebus_albigena,94.2
Macaca_sylvanus,67.3
Nasalis_larvatus,44
Pan_troglodytes,210.3
Papio_hamadryas,201.8
Piliocolobus_badius,168.6
Pithecia_pithecia,195.5
Propithecus_diadema,21.2
Saguinus_fuscicollis,10.3
Semnopithecus_entellus,138.1
Symphalangus_syndactylus,20.8
Varecia_variegata,425.4
