site,Microcebus_berthae,Microcebus_griseorufus,Microcebus_mittermeieri,Microcebus_murinus,Microcebus_ravelobensis,Microcebus_rufus,Microcebus_simmonsi,Microcebus_tavaratra,Allocebus_trichotis,Mirza_coquereli,Cheirogaleus_crossleyi,Cheirogaleus_major,Cheirogaleus_medius,Phaner_electromontis,Phaner_furcifer,Phaner_pallescens
Ankarana,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Kirindy_CFPF,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
Beza_Mahafaly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berenty,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Ranomafana,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Andringitra_Subhumid,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Marojejy_Lowland,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Masoala,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Kirindy-Mitea,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
Isalo,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Tananvaovao,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Ste._Marie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ile_Saint_Marie,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Ste._Luce,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
